epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19868,4.168,4.59101,3.17928,0,0,0,0,5.31314,5.77978,4.02785,0,0,0
2,13.0907,4.31431,4.60974,3.45675,0,0,0,0,5.19218,5.69792,3.9607,1.1e-05,1.1e-05,1.1e-05
3,17.2606,4.57033,4.69865,3.53602,0,0,0,0,4.932,5.49312,3.73193,2.178e-05,2.178e-05,2.178e-05
4,22.7583,4.11941,4.65531,2.95192,0,0,0,0,4.78808,5.35708,3.59587,3.23401e-05,3.23401e-05,3.23401e-05
5,27.589,4.29552,4.63681,3.42224,0,0,0,0,4.56184,5.18101,3.37582,4.26802e-05,4.26802e-05,4.26802e-05
6,32.7657,3.58911,4.55577,2.56997,0,0,0,0,4.28258,5.00955,3.1211,5.28003e-05,5.28003e-05,5.28003e-05
7,37.7015,4.03825,4.51684,2.88493,0,0,0,0,3.96141,4.86303,2.85247,6.27004e-05,6.27004e-05,6.27004e-05
8,42.8558,3.9099,4.44544,2.74382,0,0,0,0,3.53842,4.7605,2.56596,7.23805e-05,7.23805e-05,7.23805e-05
9,48.0367,3.78377,4.36084,2.58893,0,0,0,0,3.37041,4.67795,2.4515,8.18407e-05,8.18407e-05,8.18407e-05
10,53.7333,3.30971,4.38017,2.2514,0,0,0,0,3.55439,4.5913,2.47611,9.10809e-05,9.10809e-05,9.10809e-05
11,60.9856,3.10163,4.38439,2.14175,0,0,0,0,3.67674,4.5099,2.57244,0.000100101,0.000100101,0.000100101
12,67.3481,2.89668,4.34081,2.07535,0.00058,0.0625,0.00161,0.00048,3.62598,4.43021,2.74156,0.000108901,0.000108901,0.000108901
13,72.1748,3.23267,4.27417,2.13764,0.00113,0.125,0.00604,0.00142,3.66575,4.33436,2.92843,0.000117482,0.000117482,0.000117482
14,76.1339,2.88072,4.2766,1.9346,0.00109,0.125,0.01059,0.00239,3.73052,4.33547,3.17256,0.000125842,0.000125842,0.000125842
15,81.2693,2.97531,4.10763,1.96058,0.00108,0.125,0.00765,0.00171,3.45172,4.33967,3.25441,0.000133982,0.000133982,0.000133982
16,86.5702,3.15586,4.06101,1.96949,0.00105,0.125,0.00553,0.00126,3.2863,4.35596,3.29652,0.000141902,0.000141902,0.000141902
17,90.991,2.74819,3.95826,1.90417,0.00102,0.125,0.00677,0.00208,3.081,4.31365,3.17217,0.000149603,0.000149603,0.000149603
18,95.1013,2.74334,3.86771,1.78944,0.00102,0.125,0.00677,0.00208,3.081,4.31365,3.17217,0.000157083,0.000157083,0.000157083
19,99.3417,2.92676,3.90313,1.81354,0.001,0.125,0.02276,0.01079,3.03267,4.22193,2.91139,0.000164344,0.000164344,0.000164344
20,103.463,2.60913,3.80519,1.7192,0.001,0.125,0.02276,0.01079,3.03267,4.22193,2.91139,0.000171384,0.000171384,0.000171384
21,107.637,2.50319,3.84308,1.7826,0.00099,0.125,0.05171,0.034,2.89786,4.12065,2.64467,0.000178204,0.000178204,0.000178204
22,111.567,2.5884,3.79042,1.7497,0.00099,0.125,0.05171,0.034,2.89786,4.12065,2.64467,0.000184805,0.000184805,0.000184805
23,116.286,2.56299,3.69577,1.68676,0.03173,0.17105,0.12767,0.07336,2.67914,4.09324,2.42595,0.000191185,0.000191185,0.000191185
24,120.36,2.57163,3.64012,1.73141,0.03173,0.17105,0.12767,0.07336,2.67914,4.09324,2.42595,0.000197346,0.000197346,0.000197346
25,124.226,2.57787,3.63147,1.65695,0.01583,0.17763,0.11573,0.06714,2.55693,4.07636,2.28603,0.000203286,0.000203286,0.000203286
26,128.364,2.30451,3.55195,1.63348,0.01583,0.17763,0.11573,0.06714,2.55693,4.07636,2.28603,0.000209007,0.000209007,0.000209007
27,132.061,2.45003,3.61929,1.62627,0.00951,0.16447,0.09861,0.04473,2.76652,4.09096,2.22985,0.000214507,0.000214507,0.000214507
28,135.681,2.32688,3.56306,1.63576,0.00951,0.16447,0.09861,0.04473,2.76652,4.09096,2.22985,0.000219788,0.000219788,0.000219788
29,139.779,2.34372,3.44003,1.61796,0.00874,0.16447,0.09097,0.02819,2.65158,4.11196,2.16966,0.000224849,0.000224849,0.000224849
30,143.607,2.4822,3.44145,1.60005,0.00874,0.16447,0.09097,0.02819,2.65158,4.11196,2.16966,0.000229689,0.000229689,0.000229689
31,147.664,2.31261,3.36476,1.60866,0.01129,0.17763,0.09935,0.03915,2.46224,4.12453,1.98574,0.00023431,0.00023431,0.00023431
32,151.617,2.26312,3.32009,1.59097,0.01129,0.17763,0.09935,0.03915,2.46224,4.12453,1.98574,0.000238711,0.000238711,0.000238711
33,155.802,2.2776,3.38244,1.55482,0.01586,0.19079,0.10295,0.04982,2.33736,4.11239,1.86384,0.000242891,0.000242891,0.000242891
34,159.815,2.2614,3.20173,1.57692,0.01586,0.19079,0.10295,0.04982,2.33736,4.11239,1.86384,0.000246852,0.000246852,0.000246852
35,164.911,2.21956,3.27029,1.57689,0.01727,0.19737,0.10456,0.052,2.27247,4.08586,1.76591,0.000250593,0.000250593,0.000250593
36,169.821,2.0312,3.1355,1.5595,0.01727,0.19737,0.10456,0.052,2.27247,4.08586,1.76591,0.000254113,0.000254113,0.000254113
37,176.042,2.23127,3.04603,1.53073,0.0179,0.20395,0.07621,0.03709,2.38513,4.04233,1.73354,0.000257414,0.000257414,0.000257414
38,181.728,2.04628,3.00217,1.57141,0.0179,0.20395,0.07621,0.03709,2.38513,4.04233,1.73354,0.000260495,0.000260495,0.000260495
39,187.873,2.15867,3.0101,1.51409,0.0167,0.20395,0.07649,0.04296,2.44491,3.95045,1.68376,0.000263356,0.000263356,0.000263356
40,192.75,2.2053,2.94456,1.41363,0.0167,0.20395,0.07649,0.04296,2.44491,3.95045,1.68376,0.000265997,0.000265997,0.000265997
